year,sex,age,value
2034,both,61,3686328
2034,both,62,3839468
2034,both,63,4039127
2034,both,64,3952046
2034,both,65,3779480
2034,both,66,3669363
2034,both,67,3649880
2034,both,68,3665850
2034,both,69,3765984
2034,both,70,3810614
2034,both,71,3766470
2034,both,72,3730519
2034,both,73,3669582
2034,both,74,3548411
2034,both,75,3421978
2034,both,76,3328937
2034,both,77,3200454
2034,both,78,2987686
2034,both,79,2841769
2034,both,80,2660889
2034,both,81,2464648
2034,both,82,2282888
2034,both,83,2080372
2034,both,84,1888275
2034,both,85,1736840
2034,both,86,1594074
2034,both,87,1561865
2034,both,88,1027100
2034,both,89,902885
2034,both,90,796597
2034,both,91,721986
2034,both,92,550137
2034,both,93,434368
2034,both,94,345713
2034,both,95,275198
2034,both,96,217586
2034,both,97,161911
2034,both,98,122511
2034,both,99,92789
2034,both,100,150910
2035,both,40,4630293
2035,both,41,4683650
2035,both,42,4720128
2035,both,43,4789888
2035,both,44,4827568
2035,both,45,4814704
2035,both,46,4659277
2035,both,47,4553712
2035,both,48,4478034
2035,both,49,4459613
2035,both,50,4432260
2035,both,51,4318515
2035,both,52,4357172
2035,both,53,4329630
2035,both,54,4251111
2035,both,55,4212606
2035,both,56,4026248
2035,both,57,3918004
2035,both,58,3849526
2035,both,59,3701754
2035,both,60,3723203
2035,both,61,3634510
2035,both,62,3659258
2035,both,63,3807998
2035,both,64,4002481
2035,both,65,3912920
2035,both,66,3739064
2035,both,67,3626927
2035,both,68,3604430
2035,both,69,3616253
2035,both,70,3710468
2035,both,71,3749171
2035,both,72,3699907
2035,both,73,3658115
2035,both,74,3591365
2035,both,75,3465215
2035,both,76,3333638
2035,both,77,3233994
2035,both,78,3099333
2035,both,79,2882925
2035,both,80,2730356
2035,both,81,2543828
2035,both,82,2343030
2035,both,83,2156654
2035,both,84,1951931
2035,both,85,1758527
2035,both,86,1604923
2035,both,87,1460420
2035,both,88,1417255
2035,both,89,922691
2035,both,90,801888
2035,both,91,698699
2035,both,92,624662
2035,both,93,469002
2035,both,94,364434
2035,both,95,285037
2035,both,96,222650
2035,both,97,172511
2035,both,98,125624
2035,both,99,92888
2035,both,100,157676
2036,both,40,4597139
2036,both,41,4633035
2036,both,42,4685103
2036,both,43,4720620
2036,both,44,4789346
2036,both,45,4825609
2036,both,46,4810763
2036,both,47,4653407
2036,both,48,4545606
2036,both,49,4467822
2036,both,50,4447457
2036,both,51,4418661
2036,both,52,4304312
